user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
KM126	d__Bacteria;p__Firmicutes_G;c__UBA4882;o__UBA10575;f__UBA10575;g__Capillibacterium;s__Capillibacterium thermochitinicola	GCF_013664685.1	95.0	d__Bacteria;p__Firmicutes_G;c__UBA4882;o__UBA10575;f__UBA10575;g__Capillibacterium;s__Capillibacterium thermochitinicola	99.51	0.94	GCF_013664685.1	95.0	d__Bacteria;p__Firmicutes_G;c__UBA4882;o__UBA10575;f__UBA10575;g__Capillibacterium;s__Capillibacterium thermochitinicola	99.51	0.94	d__Bacteria;p__Firmicutes_G;c__UBA4882;o__UBA10575;f__UBA10575;g__Capillibacterium;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_012521315.1, s__Capillibacterium sp012521315, 95.0, 87.11, 0.85; GCA_012512605.1, s__Capillibacterium sp012512605, 95.0, 83.03, 0.74; GCA_012837705.1, s__Capillibacterium sp012837705, 95.0, 83.02, 0.78; GCA_012727425.1, s__Capillibacterium sp012727425, 95.0, 82.92, 0.72; GCA_012735135.1, s__Capillibacterium sp012735135, 95.0, 78.21, 0.41; GCA_012837715.1, s__Capillibacterium sp012837715, 95.0, 77.73, 0.33; GCA_003511465.1, s__Capillibacterium sp003511465, 95.0, 77.05, 0.23	93.25	11	N/A	N/A
KM129	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__RBG-16-64-13;f__RBG-16-64-13;g__JAAYZX01;s__	N/A	N/A	N/A	N/A	N/A	GCA_012514635.1	95.0	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__RBG-16-64-13;f__RBG-16-64-13;g__JAAYZX01;s__JAAYZX01 sp012514635	80.37	0.33	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__RBG-16-64-13;f__RBG-16-64-13;g__JAAYZX01;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	90.63	11	0.8945412354315859	N/A
KM130	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Microtrichaceae;g__UBA11034;s__UBA11034 sp003514205	GCA_003514205.1	95.0	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Microtrichaceae;g__UBA11034;s__UBA11034 sp003514205	99.18	0.83	GCA_003514205.1	95.0	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Microtrichaceae;g__UBA11034;s__UBA11034 sp003514205	99.18	0.83	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Microtrichaceae;g__;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	89.63	11	N/A	N/A
KM133	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	86.26	11	0.8968526624824009	N/A
KM134	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Nanopelagicales;f__UBA10799;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Nanopelagicales;f__UBA10799;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	86.68	11	0.7814106010889749	N/A
KM137	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Acetivibrionales;f__Acetivibrionaceae;g__Acetivibrio;s__Acetivibrio clariflavus	GCF_000237085.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Acetivibrionales;f__Acetivibrionaceae;g__Acetivibrio;s__Acetivibrio clariflavus	99.66	0.99	GCF_000237085.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Acetivibrionales;f__Acetivibrionaceae;g__Acetivibrio;s__Acetivibrio clariflavus	99.66	0.99	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Acetivibrionales;f__Acetivibrionaceae;g__Acetivibrio;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_012519925.1, s__Acetivibrio sp012519925, 95.0, 78.53, 0.43; GCF_000179595.2, s__Acetivibrio cellulolyticus, 95.0, 77.99, 0.31	94.08	11	N/A	N/A
KM149	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	89.44	11	0.8558348948571428	N/A
KM150	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__CAG-272;g__DTU078;s__DTU078 sp012840355	GCA_012840355.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__CAG-272;g__DTU078;s__DTU078 sp012840355	99.73	0.97	GCA_012840355.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__CAG-272;g__DTU078;s__DTU078 sp012840355	99.73	0.97	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__CAG-272;g__DTU078;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_002385415.1, s__DTU078 sp002385415, 95.0, 79.19, 0.58; GCA_002397345.1, s__DTU078 sp002397345, 95.0, 76.61, 0.14	91.28	11	N/A	N/A
KM151	d__Bacteria;p__Thermotogota;c__Thermotogae;o__Petrotogales;f__Petrotogaceae;g__Defluviitoga;s__Defluviitoga tunisiensis	GCF_000953715.1	95.0	d__Bacteria;p__Thermotogota;c__Thermotogae;o__Petrotogales;f__Petrotogaceae;g__Defluviitoga;s__Defluviitoga tunisiensis	98.73	0.97	GCF_000953715.1	95.0	d__Bacteria;p__Thermotogota;c__Thermotogae;o__Petrotogales;f__Petrotogaceae;g__Defluviitoga;s__Defluviitoga tunisiensis	98.73	0.97	d__Bacteria;p__Thermotogota;c__Thermotogae;o__Petrotogales;f__Petrotogaceae;g__;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	88.86	11	N/A	N/A
KM153	d__Bacteria;p__DTU030;c__DTU030;o__DTU030;f__DTU030;g__DTU030;s__DTU030 sp001513125	GCA_001513125.1	95.0	d__Bacteria;p__DTU030;c__DTU030;o__DTU030;f__DTU030;g__DTU030;s__DTU030 sp001513125	99.38	0.82	GCA_001513125.1	95.0	d__Bacteria;p__DTU030;c__DTU030;o__DTU030;f__DTU030;g__DTU030;s__DTU030 sp001513125	99.38	0.82	d__Bacteria;p__DTU030;c__DTU030;o__DTU030;f__DTU030;g__DTU030;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_012842325.1, s__DTU030 sp012842325, 95.0, 84.62, 0.65; GCA_012841005.1, s__DTU030 sp012841005, 95.0, 82.57, 0.65	80.34	11	N/A	N/A
KM154	d__Bacteria;p__Desulfobacterota_G;c__Syntrophorhabdia;o__Syntrophorhabdales;f__Syntrophorhabdaceae;g__MWEV01;s__MWEV01 sp002071245	GCA_002071245.1	95.0	d__Bacteria;p__Desulfobacterota_G;c__Syntrophorhabdia;o__Syntrophorhabdales;f__Syntrophorhabdaceae;g__MWEV01;s__MWEV01 sp002071245	98.9	0.88	GCA_002071245.1	95.0	d__Bacteria;p__Desulfobacterota_G;c__Syntrophorhabdia;o__Syntrophorhabdales;f__Syntrophorhabdaceae;g__MWEV01;s__MWEV01 sp002071245	98.9	0.88	d__Bacteria;p__Desulfobacterota_G;c__Syntrophorhabdia;o__Syntrophorhabdales;f__Syntrophorhabdaceae;g__;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	92.0	11	N/A	N/A
KM155	d__Bacteria;p__DUMJ01;c__DUMJ01;o__DUMJ01;f__DUMJ01;g__DUMJ01;s__DUMJ01 sp012839925	GCA_012839925.1	95.0	d__Bacteria;p__DUMJ01;c__DUMJ01;o__DUMJ01;f__DUMJ01;g__DUMJ01;s__DUMJ01 sp012839925	98.85	0.9	GCA_012839925.1	95.0	d__Bacteria;p__DUMJ01;c__DUMJ01;o__DUMJ01;f__DUMJ01;g__DUMJ01;s__DUMJ01 sp012839925	98.85	0.9	d__Bacteria;p__DUMJ01;c__DUMJ01;o__DUMJ01;f__DUMJ01;g__DUMJ01;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_011333285.1, s__DUMJ01 sp011333285, 95.0, 77.09, 0.28; GCA_014360335.1, s__DUMJ01 sp014360335, 95.0, 77.05, 0.24; GCA_011334575.1, s__DUMJ01 sp011334575, 95.0, 76.62, 0.25	90.87	11	N/A	N/A
KM156	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__JG1575;s__	N/A	N/A	N/A	N/A	N/A	GCA_012511315.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__JG1575;s__JG1575 sp012511315	78.25	0.09	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__JG1575;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_002838815.1, s__JG1575 sp002838815, 95.0, 76.59, 0.07	93.19	11	0.9371846781249813	N/A
KM158	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lutisporales;f__Lutisporaceae;g__Lutispora;s__	N/A	N/A	N/A	N/A	N/A	GCF_900142105.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lutisporales;f__Lutisporaceae;g__Lutispora;s__Lutispora thermophila	81.57	0.64	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lutisporales;f__Lutisporaceae;g__Lutispora;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	93.49	11	0.9157495409687398	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
KM16	d__Bacteria;p__Firmicutes_B;c__Syntrophomonadia;o__Syntrophomonadales;f__Syntrophothermaceae;g__Syntrophothermus;s__Syntrophothermus lipocalidus	GCF_000092405.1	95.0	d__Bacteria;p__Firmicutes_B;c__Syntrophomonadia;o__Syntrophomonadales;f__Syntrophothermaceae;g__Syntrophothermus;s__Syntrophothermus lipocalidus	98.52	0.87	GCF_000092405.1	95.0	d__Bacteria;p__Firmicutes_B;c__Syntrophomonadia;o__Syntrophomonadales;f__Syntrophothermaceae;g__Syntrophothermus;s__Syntrophothermus lipocalidus	98.52	0.87	d__Bacteria;p__Firmicutes_B;c__Syntrophomonadia;o__Syntrophomonadales;f__Syntrophothermaceae;g__;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	93.05	11	N/A	N/A
